StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,f1_good_1,exp11_max_sg_indef_1,f2_bad_1,exp12_uniq_pl_def_1,f3_good _1,exp13_max_sg_def_1,f4_good_1,exp14_uniq_pl_indef_1,f5_good_1,exp15_prom_pl_def_1,f6_good_1,exp16_prom_pl_indef_1,f7_bad_1,exp17_nprom_pl_indef_1,f8_good_1,exp18_nmax_sg_def_1,f8_bad_1,exp19_uniq_pl_def_1,f10_bad_1,exp20_nmax_sg_indef_1,f11_good_1,exp7_nmax_pl_indef_1,Q33,Q34,Q17
2022-11-21 14:46:37,2022-11-21 14:56:57,0,73.78.184.94,100,620,1,2022-11-21 14:56:58,R_1mEhrfUOdtSNCcP,,,,,39.9422,-104.7854,anonymous,EN,10,8,6,1,10,8,10,1,10,0,6,1,0,0,10,0,9,0,0,0,10,9,1,,
2022-11-21 14:57:07,2022-11-21 15:00:55,0,24.121.12.105,100,227,1,2022-11-21 15:00:55,R_2TI62PKI58jaTyR,,,,,35.0052,-114.5687,anonymous,EN,0,0,9,0,0,0,10,0,10,0,5,0,9,1,5,0,7,0,0,0,10,0,2,Spanish,Thank you for the opportunity.
2022-11-21 14:58:32,2022-11-21 15:06:21,0,24.228.24.167,100,468,1,2022-11-21 15:06:21,R_2CdAsqPqpapc2Ip,,,,,40.8622,-73.8902,anonymous,EN,10,10,7,6,10,7,3,3,6,4,3,4,5,4,10,5,8,7,3,5,6,7,1,,
2022-11-21 15:02:48,2022-11-21 15:08:03,0,71.226.66.49,100,315,1,2022-11-21 15:08:04,R_2U5T1hovd2pbCPu,,,,,32.0773,-81.0901,anonymous,EN,9,7,1,6,10,6,7,4,6,5,3,4,10,4,9,6,7,6,3,6,6,8,1,,
2022-11-21 15:02:56,2022-11-21 15:08:51,0,107.217.128.184,100,355,1,2022-11-21 15:08:51,R_1jOrGLCyxMG4NEE,,,,,38.269,-85.4934,anonymous,EN,9,0,0,0,10,0,10,0,10,0,0,0,7,0,9,0,1,0,0,0,10,9,1,,
2022-11-21 15:04:49,2022-11-21 15:10:55,0,70.189.60.213,100,366,1,2022-11-21 15:10:56,R_SIuD2vfAAUbVqKd,,,,,30.4304,-91.0353,anonymous,EN,0,0,0,0,10,5,0,0,0,0,0,0,5,0,9,0,10,0,0,0,0,10,1,,
2022-11-21 15:06:01,2022-11-21 15:12:36,0,73.110.191.216,100,395,1,2022-11-21 15:12:37,R_2SHqQnSps4CVfl7,,,,,42.176,-87.809,anonymous,EN,10,10,3,3,10,8,10,3,10,3,1,2,10,1,10,8,9,2,4,10,10,10,1,,
2022-11-21 15:09:21,2022-11-21 15:12:55,0,73.10.162.211,100,214,1,2022-11-21 15:12:55,R_6mQZe0Qv88bb4DD,,,,,40.7575,-74.9967,anonymous,EN,10,10,8,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,0,0,10,7,1,,None
2022-11-21 15:07:53,2022-11-21 15:13:49,0,107.77.231.38,100,356,1,2022-11-21 15:13:50,R_spMEx7Iuu9vH8ml,,,,,33.9555,-118.2863,anonymous,EN,10,7,1,0,10,0,10,0,10,0,0,0,0,0,10,0,10,0,0,6,9,10,1,,"at first when it asked if she put a bag on the table when she actually put several i put totally agree becauseshe did indeed put a bag on the table but later i realized it wasnt specific so i started to put disagree. either way a nice little challenge "
2022-11-21 15:07:51,2022-11-21 15:14:17,0,69.119.208.249,100,385,1,2022-11-21 15:14:17,R_tJNzOLpdZSnmoP7,,,,,40.6221,-73.981,anonymous,EN,10,7,3,7,10,7,8,7,8,4,2,7,5,7,10,7,10,3,4,9,10,10,1,,
2022-11-21 15:02:11,2022-11-21 15:15:07,0,98.164.188.234,100,775,1,2022-11-21 15:15:08,R_2DZleuZo5lNeq13,,,,,36.2115,-115.0365,anonymous,EN,10,10,10,10,10,10,10,10,10,6,10,8,10,2,10,10,10,10,8,10,10,10,1,"English ","Love ❤️ it fun "
2022-11-21 15:12:43,2022-11-21 15:17:36,0,8.15.178.179,100,293,1,2022-11-21 15:17:36,R_3pqW95JdbzPgNuv,,,,,35.7715,-77.973,anonymous,EN,7,7,2,0,9,7,10,1,10,1,6,0,4,0,7,6,6,1,3,6,9,10,1,,Easy to understand and follow
2022-11-21 15:12:58,2022-11-21 15:18:12,0,173.173.24.75,100,313,1,2022-11-21 15:18:12,R_2rqoeXWe3ZnsnGJ,,,,,31.0736,-97.4727,anonymous,EN,10,9,7,7,10,8,10,6,10,6,6,6,6,5,10,6,10,6,5,6,10,10,1,,
2022-11-21 15:08:46,2022-11-21 15:18:27,0,74.140.105.103,100,581,1,2022-11-21 15:18:28,R_20O3LNja0wxQz7y,,,,,40.0732,-82.4017,anonymous,EN,8,1,3,1,10,1,10,1,10,1,4,1,0,1,8,1,8,1,0,1,10,10,1,,
2022-11-21 15:10:13,2022-11-21 15:18:37,0,76.123.245.230,100,503,1,2022-11-21 15:18:37,R_2XbWqu2CreRqgs6,,,,,35.8677,-86.4174,anonymous,EN,8,9,6,6,10,7,9,8,9,4,8,4,2,5,10,6,9,7,6,7,9,9,1,,Thanks for paying well and thanks for the study!
2022-11-21 15:02:43,2022-11-21 15:20:07,0,71.13.230.123,100,1043,1,2022-11-21 15:20:07,R_3e3mNseelQzWy3I,,,,,42.1917,-85.6322,anonymous,EN,9,10,0,9,10,9,1,9,6,6,1,6,2,4,8,4,3,4,4,7,6,5,1,,
2022-11-21 15:14:12,2022-11-21 15:20:14,0,74.130.100.117,100,361,1,2022-11-21 15:20:14,R_2AYFtg5kAMOkWOH,,,,,36.8806,-88.3548,anonymous,EN,10,0,10,0,0,0,5,0,10,0,0,0,10,0,0,0,10,0,5,0,10,0,1,,
2022-11-21 15:11:42,2022-11-21 15:21:10,0,24.118.177.148,100,568,1,2022-11-21 15:21:10,R_2zTPM4XeiN3VrL0,,,,,44.9764,-93.224,anonymous,EN,10,8,8,4,10,8,10,4,9,4,4,3,6,3,9,7,9,9,7,9,10,10,1,,
2022-11-21 15:14:18,2022-11-21 15:22:50,0,76.226.169.117,100,511,1,2022-11-21 15:22:50,R_WDkf83lLUGWEU49,,,,,30.209,-92.0607,anonymous,EN,9,3,3,2,10,2,10,2,10,2,3,2,8,2,9,5,7,2,3,5,9,10,1,,
2022-11-21 15:13:10,2022-11-21 15:23:49,0,72.93.242.36,100,638,1,2022-11-21 15:23:49,R_1ir59Ux5xsURXRf,,,,,42.5811,-71.4387,anonymous,EN,7,7,2,0,10,5,10,0,5,0,0,0,0,3,10,7,4,3,0,7,10,7,1,,
2022-11-21 15:17:00,2022-11-21 15:36:57,0,67.143.192.73,100,1196,1,2022-11-21 15:36:57,R_1QAztO3nomx4zIS,,,,,32.7797,-96.8022,anonymous,EN,9,8,4,4,9,4,9,3,7,2,1,2,2,1,8,3,7,2,7,3,9,7,1,,
2022-11-21 16:00:17,2022-11-21 16:07:16,0,24.240.33.120,100,419,1,2022-11-21 16:07:16,R_2eV82JY1JEfnjDX,,,,,43.0684,-89.4293,anonymous,EN,8,10,3,4,10,5,7,3,6,3,4,4,5,2,5,4,10,1,3,8,4,7,1,,
2022-11-21 12:53:45,2022-11-21 12:54:28,0,65.112.8.56,11,42,0,2022-11-28 12:54:31,R_1Iz31aQFT6RBDCu,,,,,,,anonymous,EN,5,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-21 13:55:38,2022-11-21 13:55:46,0,65.112.8.56,7,7,0,2022-11-28 13:59:48,R_T7OcAXrEcpOw0TL,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-21 15:05:48,2022-11-21 15:31:27,0,76.190.151.17,4,1539,0,2022-11-28 15:31:32,R_32WnCNvMjFoN1yh,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,
